,edges,shear,shear_era5
0,"70°S,60°S",7.02131336232302,8.566195237317531
1,"60°S,50°S",9.023143574839356,7.448573238660883
2,"50°S,40°S",10.806866918091362,8.535694407866638
3,"40°S,30°S",11.29672940869396,10.620247530384056
4,"30°S,20°S",10.999202548544094,12.579071971359596
5,"20°S,10°S",7.485516019656985,9.238208029714814
6,"10°S,0°N",6.723748807881129,5.927705154242943
7,"0°N,10°N",6.776232517679845,6.293609519342426
8,"10°N,20°N",7.189776384403456,6.243434134194291
9,"20°N,30°N",6.806434765176192,6.102832656031736
10,"30°N,40°N",7.066121499180461,6.599436059876861
11,"40°N,50°N",8.094954407073047,6.838756635154633
12,"50°N,60°N",8.058465962606908,7.1996893512944595
13,"60°N,70°N",9.223610412904213,8.60627892730984
