,pressure,rmsvd,speed,yield
0,103,2.810465338933237,7.64975248912105,6972
1,110,2.8107432146654587,8.585282644182236,6750
2,118,2.791457193566362,9.460199283600517,5064
3,126,2.7977605245530226,9.602835803431123,4217
4,134,2.7932211967546396,9.97028981469658,4528
5,142,2.8487854227742573,11.213290856342725,3574
6,151,2.799441063363886,10.952218887928678,3872
7,160,2.7855978980635467,10.739598977597963,4141
8,170,2.801707089700327,10.647294702047684,3744
9,180,2.808567635521666,10.538929809146682,3665
10,190,2.8001185238013697,9.76549864896148,3569
11,201,2.804451550581579,10.372603395367605,3513
12,212,2.7812322034678734,10.765237199115367,3621
13,223,2.783238816647858,9.810402268209023,4222
14,235,2.8024792998969796,9.906355428098028,4147
15,247,2.813314134939203,10.542586425918644,4582
16,260,2.8168238312567953,10.08717031532303,4673
17,273,2.8113690684684616,10.24166605646778,4555
18,286,2.7978240486763224,9.560653336486915,5658
19,300,2.7835023979332,9.007346572553104,6140
20,314,2.7969615148989897,9.105358776484458,5824
21,329,2.774079471417526,8.499398709089073,6816
22,344,2.811380966497271,8.452662206877156,6896
23,359,2.7763717199571425,8.590063742362961,7570
24,375,2.767246837638364,8.010187743941728,7799
25,391,2.7657939166637204,7.994487104920482,8747
26,408,2.778635204081457,7.672253887702282,8890
27,424,2.787416347864516,7.194791682188419,9048
28,442,2.7645041794471323,6.617337899742207,10555
29,460,2.7892670928115453,6.479776044406724,10683
30,478,2.776320003608401,6.222576595797713,11812
31,497,2.7548079286072293,5.80903216682036,12207
32,516,2.7810371027242224,5.731678878850184,12868
33,535,2.7624346158772175,5.454415007267087,14839
34,555,2.746795173087723,5.429963062431984,15256
35,576,2.7760062957920653,5.124821735903041,16322
36,596,2.7608052422715557,4.915608051910998,16200
37,618,2.757996026150496,4.927340634130475,17315
38,639,2.7459342443869774,4.862547799621726,18187
39,661,2.7579132853644843,4.807473025102787,17637
40,684,2.7714902018267193,4.691181511022642,19034
41,707,2.7648477608232787,4.579849903407834,18728
42,730,2.7511561238949596,4.480213827640008,19757
43,754,2.7570315155445577,4.435470611405924,19955
44,778,2.7420634484129747,4.362139547594385,20799
45,802,2.7642635368967245,4.405532610841726,19454
46,827,2.7560470997161124,4.493850419569337,19825
47,853,2.7500355575264197,4.63197288895358,19332
48,879,2.770040036612859,4.689624938834022,17330
