,pressure,rmsvd,speed,yield
0,103,2.748692301614612,7.12505601138441,5598
1,110,2.808557168195132,7.790341717646722,5786
2,118,2.7777765782743447,8.380140047542195,3889
3,126,2.808378617516124,8.560418699495553,4098
4,134,2.825163206544758,9.506116017972554,4719
5,142,2.8103040660064904,9.676897273422675,3746
6,151,2.8160061630859974,10.235114472137758,3755
7,160,2.7921076175455086,10.767251118873286,3813
8,170,2.8190633450063234,10.584665734396504,3143
9,180,2.7931582730477147,10.85016368006447,3423
10,190,2.8022252663378855,11.175547854708359,3488
11,201,2.7807427857125777,11.602077194693138,3236
12,212,2.789953617110436,11.748103626156704,3103
13,223,2.8046785616614756,11.784672977309329,3322
14,235,2.7897107917155544,11.605095475255283,3287
15,247,2.7721301124928135,11.815740622342888,3428
16,260,2.797362058757255,11.353709754547353,3529
17,273,2.7903223077741104,11.144983667394616,3673
18,286,2.816787654033877,10.532564600733902,3915
19,300,2.8074274066770366,10.680326245439556,3877
20,314,2.785301507674277,11.04329985155338,3853
21,329,2.8180396338486378,10.967819962972087,4286
22,344,2.8241941203529564,10.373197052202922,4633
23,359,2.805973556889501,10.38195862864189,4642
24,375,2.7843264005200785,10.081849373445078,4638
25,391,2.765663296873252,10.30361042182436,5591
26,408,2.744106883474814,9.33378298381973,5223
27,424,2.7897964734758824,8.8397560644353,5504
28,442,2.7671882326859696,8.314732282362337,6667
29,460,2.802165459164612,7.5896240005081035,6493
30,478,2.7734430293336088,7.178182044845876,7629
31,497,2.7881872552728093,7.053884764610056,7223
32,516,2.808333009629382,6.721731569154527,7415
33,535,2.7632365304422613,6.703814651293276,7921
34,555,2.7677909893761687,6.415446243373862,7493
35,576,2.7722366122815196,6.153971077206854,8682
36,596,2.7936158370372888,6.009836406362848,8964
37,618,2.7749544361952823,6.099533472312381,8607
38,639,2.790391490436194,6.048710972955771,9653
39,661,2.7468938738100337,5.968805495957673,9834
40,684,2.755988946953909,5.910093042510383,10417
41,707,2.7591146778148374,6.042406533093125,10222
42,730,2.7867456907537034,6.156822771862543,10667
43,754,2.7727641528868245,5.9153750817304935,10775
44,778,2.7254185336206738,6.070609506589363,11758
45,802,2.782542166044601,5.811179172289224,11872
46,827,2.7285834930046655,5.555382496032376,11369
47,853,2.787723934118855,5.810316109880616,10078
48,879,2.7645563823629096,5.455413341442091,9060
