,pressure,rmsvd,speed,yield
0,103,18.009374827398393,8.100305583463758,156002
1,110,17.963771354644503,8.590487478850097,156002
2,118,20.521920860423,9.135806735937868,156002
3,126,20.779748342550885,9.566402456930891,156002
4,134,20.66893839282377,10.411510248525772,156002
5,142,22.943373080588007,10.800495460836267,155997
6,151,23.2123715340622,11.09034505865595,156001
7,160,22.93292620232697,11.375318762317733,156002
8,170,24.721397758191753,11.491131134791793,156002
9,180,24.79559195001218,11.93238682712648,156002
10,190,25.754426784143785,12.327075441462936,155956
11,201,25.84009684968709,12.614294640844044,155911
12,212,26.139508330114747,12.71260087776415,155968
13,223,26.099720330061466,12.768715603044065,155901
14,235,26.13055778516403,12.960068346001796,155883
15,247,25.374377936855048,13.183041956922601,155925
16,260,25.226817567520026,13.205005838499684,155943
17,273,25.33886766094819,13.311257006389905,155946
18,286,23.698436262831006,13.733438719426587,155996
19,300,23.77239408627381,13.703356092184237,155673
20,314,24.528786676674684,14.230460744528303,155816
21,329,22.474008548921905,14.288396934778104,155820
22,344,22.677202008321736,14.475085278856936,155657
23,359,22.259991715457407,14.441250862119828,155633
24,375,22.657051753382135,14.278503643825601,155663
25,391,20.21751821468201,13.462214363386225,155504
26,408,20.480844770742657,13.476871131719367,155495
27,424,19.658963663712495,12.260535446996945,155836
28,442,18.084154261095247,11.545546437534624,155997
29,460,18.479620600364218,11.454755330093528,155992
30,478,18.050320404850545,11.179691891305277,155745
31,497,17.380489273660952,10.868215884635635,155972
32,516,16.66186820798725,10.267638646911282,155996
33,535,15.63371740842022,9.775550277048648,155985
34,555,15.710964277725004,9.443239396026577,155324
35,576,14.570105314769178,9.039281689140843,155284
36,596,14.480644946983181,8.949066258592506,154903
37,618,14.170159923824409,8.647065514891805,154746
38,639,13.133068676927977,8.321287818953149,154450
39,661,12.688650833187994,8.213873023236163,153970
40,684,12.1742144747745,8.141403515086543,153570
41,707,11.744212512861889,7.849257063888068,153269
42,730,10.943024637723736,7.619735965367155,152521
43,754,11.076598572059373,7.616799769879886,152483
44,778,11.057597001911672,7.719273895977892,151933
45,802,11.15154425754855,7.649737997387211,150694
46,827,11.096634613402953,7.5764205150781905,148118
47,853,11.538796158545294,7.589864763193273,145239
48,879,12.071159170929649,7.764530740266018,142319
