,edges,shear,shear_era5
0,"70°S,60°S",3.7654128186763582,7.869989406496194
1,"60°S,50°S",11.077129811554263,10.867922240942704
2,"50°S,40°S",9.508815345704575,9.138866364107159
3,"40°S,30°S",8.70960943462473,8.56367228670413
4,"30°S,20°S",6.411051482472374,6.909380468908264
5,"20°S,10°S",6.477175115967085,5.997128622572821
6,"10°S,0°N",5.699829426876466,5.845864963171509
7,"0°N,10°N",6.36942682223386,6.1180042296376405
8,"10°N,20°N",6.346071204429712,7.053706571328425
9,"20°N,30°N",11.020659377948537,11.808005279785203
10,"30°N,40°N",11.720681622832606,11.17610669815151
11,"40°N,50°N",9.79630687737356,9.103255565202067
12,"50°N,60°N",9.290577676684938,9.83444498416719
13,"60°N,70°N",6.703168787860574,5.271572019974776
