,pressure,rmsvd,speed,yield
0,103,6.4626573825461096,7.475273955064563,23846
1,110,6.465542419949655,8.143159487518005,23683
2,118,6.6875792335219515,8.913517432834757,18644
3,126,6.589018172423534,8.903247200270183,18977
4,134,6.503555110975487,9.829775145506106,20180
5,142,6.598159223966649,10.06553685062903,17125
6,151,6.588835933231949,10.754570864899572,17213
7,160,6.632035542569416,11.044977358437928,17717
8,170,6.741994608719569,10.80723183742317,16158
9,180,6.701535378018862,10.76092732041109,16530
10,190,6.6892876717203125,11.227880997770342,16797
11,201,6.7074706513975535,11.390372242332052,16196
12,212,6.780551308811836,11.589157430371175,15575
13,223,6.740603389696118,11.645833681069496,16586
14,235,6.77305404664917,11.694967258434875,16448
15,247,6.682899602075896,11.799858685242642,16726
16,260,6.647692161316639,11.663828505155951,16711
17,273,6.641584133818562,11.572806869347524,16667
18,286,6.686550081344057,10.801911250787718,19092
19,300,6.697876962668972,10.904341224099253,19003
20,314,6.6559510505173565,11.240244410620692,18128
21,329,6.666789640118426,10.880131676755854,20710
22,344,6.623001300579148,10.725565976472609,21469
23,359,6.596455096569491,10.934166584955143,21247
24,375,6.6016827184307285,10.555014250785653,21609
25,391,6.531913613289709,10.812291452164592,24011
26,408,6.557296879147828,9.84837449211278,23534
27,424,6.518540000226554,9.59374426165025,23716
28,442,6.4498652255087725,8.722502642740828,28054
29,460,6.443667296651137,8.557434464209878,27742
30,478,6.293412701266297,8.02633596383709,29572
31,497,6.399440560416048,7.912052709764122,29277
32,516,6.372666841325557,7.488848941592067,30431
33,535,6.405526792030827,7.280353203009844,30806
34,555,6.460130526683814,7.227000961853137,32031
35,576,6.309024709167469,6.934560707367709,34220
36,596,6.321047623887376,6.784262349558608,34718
37,618,6.321214224707073,6.763753051037258,34452
38,639,6.213162941472283,6.740638946959239,35754
39,661,6.206904303649245,6.550021418641284,36367
40,684,6.223526558959902,6.5593138929344645,38461
41,707,6.224214500832688,6.730235456578324,38586
42,730,6.219606627109531,6.758130396323681,39169
43,754,6.19761487436527,6.616078092433159,39040
44,778,6.081330015539764,6.766916878466468,40307
45,802,6.095259308727224,6.4867268327224314,40352
46,827,6.102865506139183,6.283997245575737,39829
47,853,6.253193058412237,6.19154853944249,38167
48,879,6.338416493881442,5.971113107264187,35615
