,edges,shear,shear_era5
0,"70°S,60°S",6.7157605418627,9.71493463862666
1,"60°S,50°S",7.257607591389222,7.146902842965854
2,"50°S,40°S",8.434832504080976,7.944688751162873
3,"40°S,30°S",10.37034581667344,10.345355179565821
4,"30°S,20°S",11.060687377634963,11.420473925066096
5,"20°S,10°S",6.997941808483105,7.591907009246949
6,"10°S,0°N",5.984900006590595,5.4892720853198
7,"0°N,10°N",4.939038939941366,5.324298577160094
8,"10°N,20°N",5.6074937270431455,5.333216856089344
9,"20°N,30°N",5.5393920271517345,5.141347607853517
10,"30°N,40°N",6.329980879587799,6.443064776077539
11,"40°N,50°N",6.8024917596867205,6.050723213935169
12,"50°N,60°N",8.004340940136561,6.508840093650829
13,"60°N,70°N",8.82200110188452,6.644219693606145
