,edges,shear,shear_era5
0,"70°S,60°S",0.6640054583549498,5.818727493286133
1,"60°S,50°S",4.923712159969158,4.740851908838218
2,"50°S,40°S",6.816097452340043,7.46842132692141
3,"40°S,30°S",11.081407356423634,10.956006786947666
4,"30°S,20°S",9.922150235417844,10.716747813361144
5,"20°S,10°S",7.92528691451578,7.310564167926734
6,"10°S,0°N",4.891781120602598,4.622496658172754
7,"0°N,10°N",5.478662664478359,5.112240495355767
8,"10°N,20°N",5.6878212593272615,5.718646992528498
9,"20°N,30°N",6.581127202309689,6.396322078584633
10,"30°N,40°N",6.479416436192703,6.321204259600116
11,"40°N,50°N",6.054867953651132,5.512389785934275
12,"50°N,60°N",6.505136002020202,6.620351329886566
13,"60°N,70°N",6.893659146947311,5.358249945184598
