,edges,shear,shear_era5
6,"-10,0",5.075737322450986,5.08304872323143
5,"-20,-10",7.801622323512356,7.244534470397148
4,"-30,-20",10.263485664455336,11.002941239690374
3,"-40,-30",12.118478123175915,11.826322099465214
2,"-50,-40",6.959221598524447,7.2990137459914255
1,"-60,-50",5.33998830576962,5.416814393786927
0,"-70,-60",0.6640054583549498,5.818727493286133
7,"0,10",5.8840072891533355,5.5573796276520335
8,"10,20",5.78936079280867,5.793630233937354
9,"20,30",6.651008772173356,6.405895040411674
10,"30,40",6.167725299278493,6.250482045242651
11,"40,50",6.1633445732226235,5.585935727310853
12,"50,60",6.693578156064789,6.382724825995643
13,"60,70",4.625138744269834,4.863515637081994
