,Unnamed: 0,edges,shear,shear_era5,thresh,month,diff
4,4,"30°S,20°S",6.411051482472374,16.07841022436258,4,january,-9.667358741890208
4,4,"30°S,20°S",7.551952285594975,16.07841022436258,10,january,-8.526457938767606
4,4,"30°S,20°S",10.786593781907312,16.07841022436258,100,january,-5.29181644245527
4,4,"30°S,20°S",11.060687377634965,16.07841022436258,4,july,-5.017722846727617
4,4,"30°S,20°S",10.999202548544094,16.07841022436258,10,july,-5.079207675818488
4,4,"30°S,20°S",14.565918812292098,16.07841022436258,100,july,-1.5124914120704833
