,edges,shear,shear_era5
0,"70°S,60°S",5.712014828778703,6.148045300189001
1,"60°S,50°S",9.712230825365818,9.048000485978056
2,"50°S,40°S",10.455256453023102,9.239145180558282
3,"40°S,30°S",8.844774066666172,8.795408168477966
4,"30°S,20°S",7.551952285594975,7.747794564862996
5,"20°S,10°S",7.39713073815768,6.011266433836927
6,"10°S,0°N",7.240686856172529,6.581386453403071
7,"0°N,10°N",7.691352329081528,7.556428392042338
8,"10°N,20°N",7.554993842717036,9.14189537154929
9,"20°N,30°N",11.79571765348278,13.351884142092759
10,"30°N,40°N",11.755085230990215,11.100492469937002
11,"40°N,50°N",10.230439196730647,10.105681888059765
12,"50°N,60°N",10.39283827777508,10.315844148504494
13,"60°N,70°N",6.828058866560497,6.0901705653541205
