,pressure,rmsvd,speed
0,103,12.429140547261051,6.832826082991072
1,110,11.651741269313694,7.1438263170389344
2,118,15.267088030631507,7.698401506867499
3,126,15.263690024668652,8.290081001597173
4,134,15.580595211032545,8.94404427292221
5,142,19.33006482291888,9.162787432070994
6,151,19.33679447490461,9.473037770940829
7,160,19.385841727653503,10.012323193208685
8,170,21.80539701708105,10.1583694265198
9,180,21.310374592137595,10.384158452791652
10,190,22.29038152980169,10.754108814694515
11,201,22.413387771769724,11.545382633479074
12,212,22.416599087368382,11.824837959236229
13,223,21.791132083347872,11.734869702658102
14,235,21.674090751996435,12.03392722994813
15,247,21.015581960902736,12.882904437983138
16,260,21.02315269959622,13.085602137705507
17,273,20.813876527956356,13.161861380770775
18,286,19.52851459665521,13.977542139822994
19,300,18.682743547332368,12.652984257226484
20,314,19.603677577874894,13.686342480869598
21,329,18.627221885687117,14.754000984142957
22,344,18.72844427455151,13.585789368370234
23,359,17.379711765255923,12.040861581141225
24,375,18.931568596651346,11.734992026107617
25,391,16.441114856869376,11.862973411633543
26,408,16.893459568525554,11.445476032864361
27,424,17.01685626847615,10.3123306310351
28,442,15.518451402075499,9.720549164051612
29,460,14.531186886700278,9.083154124884512
30,478,13.752944786311755,8.44199117189087
31,497,13.006537841968619,7.864348217320267
32,516,13.411545761067549,7.971708333529806
33,535,12.143079941828644,7.322984406206058
34,555,11.963209072259033,7.1757953568054935
35,576,11.602052082089719,6.8768050765156845
36,596,11.631428343886334,6.912480083066195
37,618,11.22223650999994,6.925894666721617
38,639,10.243321430908944,6.355074401091507
39,661,10.049992810782605,6.715949288678797
40,684,9.702099261769195,6.591842218547414
41,707,10.328809331785298,6.8311229920284555
42,730,10.18298400128407,7.093318567601928
43,754,10.146332503284562,6.888707665869515
44,778,10.200265541022334,6.641120185124556
45,802,10.094437730131173,6.606575148538956
46,827,9.989395378368844,6.524929292890796
47,853,10.434278372654205,7.2417848231652915
48,879,10.852511091987393,7.386515783964784
