,edges,shear,shear_era5
0,"70°S,60°S",12.293499441038099,9.58802666917123
1,"60°S,50°S",18.97079620572612,10.402064590999123
2,"50°S,40°S",16.610057944603962,12.737838481821198
3,"40°S,30°S",16.175554991483246,14.815963335736736
4,"30°S,20°S",15.1485029731627,15.9371253445831
5,"20°S,10°S",11.93067674455801,10.994209157692602
6,"10°S,0°N",10.29977095153039,6.201867048984607
7,"0°N,10°N",11.790025049369362,7.6253623279576015
8,"10°N,20°N",10.663183043101151,7.606804872380519
9,"20°N,30°N",9.635120754344527,7.244807913460808
10,"30°N,40°N",8.981652196094807,7.9923671556915235
11,"40°N,50°N",9.227614908134113,8.39017970347533
12,"50°N,60°N",10.912693677150758,9.642381464138294
13,"60°N,70°N",17.262539649711975,8.839973548306004
