,plev,rmsvd,rmsvd_era5,thresh,month,rmsvd_diff
34,852.7999877929688,7.119834647491422,4.398363222811629,10,january,2.721471424679793
7,300.0,9.123215432172227,8.01444499419445,10,january,1.1087704379777765
9,852.7999877929688,4.769294047688457,4.398363222811629,4,january,0.3709308248768277
40,300.0,6.02704201287405,8.01444499419445,4,january,-1.9874029813204004
34,852.7999877929688,7.056875713581554,4.323810675733541,10,july,2.7330650378480126
36,300.0,8.027373859623927,7.313837252928781,10,july,0.7135366066951452
14,852.7999877929688,4.577324998709567,4.323810675733541,4,july,0.2535143229760264
22,300.0,5.594288541306644,7.313837252928781,4,july,-1.7195487116221377
