,edges,rmse
0,"30°N,30°S",3.4948779820167957
1,"60°N,30°N",3.396448433098094
2,"90°N,60°N",3.739038548942393
3,"30°S,60°S",3.555004722000093
4,"60°S,90°S",3.280048133476603
