,edges,shear,shear_era5
0,"70°S,60°S",11.884787761690964,7.9433017000596395
1,"60°S,50°S",13.677807846578657,11.199902484953036
2,"50°S,40°S",12.560172194659572,13.047677766558355
3,"40°S,30°S",11.52858150198289,11.830609826910216
4,"30°S,20°S",10.786593781907312,9.14186434413394
5,"20°S,10°S",11.593250327341034,6.8130866530367635
6,"10°S,0°N",10.113292969156358,6.923052518878177
7,"0°N,10°N",9.299806615403616,8.051665660008638
8,"10°N,20°N",10.425452244525342,10.90076082752308
9,"20°N,30°N",13.502402688928445,16.958957058001648
10,"30°N,40°N",13.372665046999904,17.087964584902785
11,"40°N,50°N",12.960633056534009,14.381042351865009
12,"50°N,60°N",13.460863701304222,13.390398987056159
13,"60°N,70°N",13.280804918162975,10.81367551910486
