,edges,shear,shear_era5
0,"-70,-60",12.293499441038094,9.588026669171228
1,"-60,-50",19.102283530496315,10.399275047349795
2,"-50,-40",16.656078164484942,12.735099605748355
3,"-40,-30",16.256157613445595,14.815963335736727
4,"-30,-20",15.305430508781706,15.938860894668938
5,"-20,-10",12.146546924223268,10.986311099445407
6,"-10,0",10.338706514736833,6.201867048984605
7,"0,10",11.822211539347993,7.625362327957601
8,"10,20",10.675749491550977,7.606804872380518
9,"20,30",9.648617651794028,7.244807913460811
10,"30,40",9.003565015466084,7.992367155691523
11,"40,50",9.245302831562919,8.390179703475328
12,"50,60",10.928332312070523,9.642381464138294
13,"60,70",17.272757853192555,8.839973548306002
