,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,10.34,5.55,-1.97,5.44,-1.0,1.79,60.43,19.3,-5.44,4.36,-9.37,9.85,-1.92,3.68,27
7,201.34,9.15,5.8,2.05,1.38,-0.84,-0.23,71.66,33.28,-32.29,16.02,-7.91,8.36,-1.31,2.76,23
6,260.36,9.04,5.22,-1.28,2.85,-0.68,-0.27,67.72,29.5,-45.41,-1.77,-7.89,8.68,-1.03,2.97,36
5,329.08,8.88,4.9,-1.08,2.62,-0.16,-0.26,64.47,29.45,-32.21,-15.01,-7.75,8.31,-1.15,2.56,32
4,407.9,8.21,4.67,0.12,1.21,0.45,-0.34,49.67,20.08,-29.11,-8.41,-7.69,7.89,-0.88,2.29,32
3,497.04,8.74,4.25,-0.19,2.6,0.54,0.13,46.48,18.92,4.04,-11.6,-7.68,8.51,-1.19,2.95,58
2,596.72,8.17,3.11,0.67,4.21,-0.3,0.31,45.39,18.32,-26.7,-0.12,-7.15,8.04,-0.41,2.24,43
1,707.0,7.97,3.38,-0.19,2.22,-0.38,0.5,53.01,20.21,-5.56,0.65,-6.93,7.73,-0.96,2.47,84
0,827.8,8.16,4.68,-0.05,1.95,-0.23,-0.03,49.96,22.32,-3.51,-3.71,-6.61,8.05,-1.22,4.11,89
