,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,9.0,5.79,-4.19,-0.4,-1.83,-0.6,20.41,12.86,11.3,5.34,-1.3,6.74,0.27,3.89,106
7,201.34,9.44,8.6,1.43,1.12,1.9,1.84,19.32,12.34,-3.9,-2.86,-2.99,5.93,-2.29,6.08,107
6,260.36,10.89,8.67,0.82,0.87,1.18,0.71,28.02,18.83,-5.83,-3.38,-2.12,6.59,-0.23,3.59,68
5,329.08,8.15,4.98,0.52,0.77,1.09,-0.25,21.16,13.95,-10.08,-9.31,-1.75,6.07,0.02,3.43,69
4,407.9,8.13,4.99,-2.25,0.98,-0.07,0.14,27.58,13.64,4.42,-0.3,-3.45,6.29,-0.63,3.08,122
3,497.04,7.15,3.81,-0.44,0.91,-0.21,-0.03,29.28,12.69,2.49,0.28,-2.96,5.43,-0.62,2.41,167
2,596.72,6.56,3.56,-0.2,-0.35,0.04,-0.62,34.83,17.56,0.59,2.58,-1.78,4.78,0.04,2.29,112
1,707.0,6.87,3.5,0.23,0.89,-0.22,0.23,36.26,13.48,-7.28,0.14,-3.27,5.14,-1.03,2.55,189
0,827.8,6.76,4.26,-0.9,0.71,-0.37,-0.41,49.66,22.29,-4.95,0.63,-1.97,5.11,-0.54,3.53,161
