,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,8.14,5.25,-2.21,-0.24,-0.82,-0.11,20.84,12.01,6.88,3.53,-0.59,5.97,0.1,3.45,153
7,201.34,8.9,7.8,1.51,2.65,1.82,2.09,20.09,12.84,-3.17,-6.1,-3.7,6.5,-2.58,5.84,116
6,260.36,11.46,9.82,0.82,1.72,1.37,1.41,33.07,23.62,-13.61,-6.49,-2.53,6.58,-0.01,4.09,73
5,329.08,7.76,4.94,-0.85,-0.3,0.53,-0.07,24.14,13.01,0.44,-7.4,-2.47,5.6,-0.66,3.06,79
4,407.9,7.83,5.09,-1.18,1.14,0.22,0.4,27.84,15.56,8.14,0.48,-3.47,6.17,-0.71,3.08,137
3,497.04,7.34,3.7,-1.04,0.38,-0.15,-0.33,33.65,12.14,3.56,-0.22,-2.92,5.44,-0.47,2.45,195
2,596.72,6.76,3.82,-1.18,0.02,0.24,-0.2,48.25,20.64,12.9,3.52,-2.58,4.39,-0.06,2.34,135
1,707.0,6.89,3.5,-0.59,1.32,-0.28,0.5,41.16,15.14,-4.04,-1.67,-2.91,5.03,-1.02,2.55,214
0,827.8,6.31,4.11,-0.66,0.26,-0.27,-0.55,47.62,23.37,-11.61,2.17,-2.1,4.8,-0.38,3.39,195
