,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,8.42,5.67,-2.69,1.28,-1.7,0.27,22.35,12.82,4.3,3.93,-1.64,5.79,-0.22,3.32,154
7,201.34,9.52,7.65,0.29,1.69,0.84,1.37,26.11,15.13,-1.36,1.06,-2.58,6.51,-1.23,5.26,161
6,260.36,10.64,9.29,1.15,1.11,1.32,0.82,29.19,21.17,-7.05,-3.45,-2.31,7.0,-0.54,4.96,111
5,329.08,9.12,6.24,0.92,0.69,0.68,-0.84,31.14,16.74,-4.24,-3.61,-2.55,6.53,-0.38,4.17,95
4,407.9,8.22,5.49,-1.12,0.44,-0.34,0.15,29.83,16.57,-2.21,-2.34,-2.9,6.14,-0.72,3.55,170
3,497.04,7.75,4.63,-0.82,1.11,-0.08,-0.01,35.45,15.29,5.39,0.29,-3.33,5.53,-0.89,2.86,219
2,596.72,7.38,4.19,-0.02,0.62,0.37,-0.25,45.5,19.33,3.46,3.43,-2.78,4.95,-0.83,2.7,173
1,707.0,7.32,3.95,-0.06,1.13,0.03,0.42,43.82,18.39,3.58,3.93,-3.13,5.21,-1.01,2.74,275
0,827.8,6.55,4.27,-0.03,0.39,0.14,-0.25,50.69,27.05,-4.1,2.43,-1.75,4.84,-0.43,3.35,218
