,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,11.59,8.41,-4.33,-2.02,-2.32,-0.88,25.31,17.31,12.76,7.84,1.02,7.71,0.86,4.54,89
7,201.34,12.72,12.07,1.34,2.65,1.43,3.05,23.22,24.08,3.39,-4.69,-2.78,9.33,-2.76,8.76,72
6,260.36,15.04,13.18,0.93,2.67,1.88,3.14,24.19,19.28,4.92,2.6,-4.36,10.4,-3.11,8.62,43
5,329.08,10.95,9.58,0.91,2.73,1.26,3.15,19.28,14.08,-4.35,1.64,-4.27,9.77,-3.5,8.69,53
4,407.9,11.06,9.39,-0.57,2.02,0.36,1.74,22.39,22.1,4.36,6.18,-4.31,8.83,-2.52,6.48,83
3,497.04,9.12,7.93,-0.77,1.55,-0.48,1.29,36.64,25.27,1.38,-1.21,-3.36,6.9,-1.76,5.27,104
2,596.72,8.69,7.34,-0.79,-0.66,-0.78,-0.03,44.6,34.22,7.81,11.61,-2.01,4.9,-0.66,3.35,81
1,707.0,8.32,5.33,-0.78,1.25,-1.11,0.36,46.51,23.48,6.61,7.2,-3.24,5.6,-1.23,3.12,127
0,827.8,6.63,4.8,-1.17,0.04,-0.7,-0.46,45.46,26.18,3.59,12.62,-1.8,5.03,-0.24,3.71,128
