,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,9.01,5.55,-3.98,0.16,-1.67,-0.15,23.24,12.39,13.85,4.99,-1.67,5.97,-0.23,3.36,96
7,201.34,9.62,7.59,-0.24,1.59,1.36,1.3,18.14,12.15,-2.64,-4.16,-3.74,6.58,-1.49,4.4,90
6,260.36,10.18,7.83,0.59,1.5,1.0,1.0,18.52,13.04,-8.68,-5.24,-2.42,6.56,-0.66,3.99,64
5,329.08,8.25,5.7,-0.33,-0.01,-0.36,-0.63,16.84,12.28,-5.01,-1.54,-3.0,6.4,-1.33,4.33,53
4,407.9,8.4,4.96,-1.21,-0.74,0.13,-0.43,24.99,13.9,8.53,0.0,-2.34,6.15,-0.29,2.63,100
3,497.04,7.46,3.44,-0.8,1.45,-0.15,0.42,27.0,9.78,8.67,-0.71,-3.49,5.74,-1.14,2.44,137
2,596.72,6.64,3.88,-0.83,-0.62,0.03,-0.7,45.87,20.63,4.18,5.6,-1.74,4.35,-0.19,2.39,96
1,707.0,7.46,3.76,-0.91,1.13,-0.47,0.45,36.19,14.63,1.35,-0.94,-3.21,5.3,-1.11,2.7,180
0,827.8,6.29,3.85,-0.63,0.31,-0.15,-0.72,46.71,26.81,-13.78,0.06,-1.46,4.49,-0.3,3.08,151
