,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,9.28,5.48,-0.66,-0.07,0.25,0.17,23.67,10.28,3.3,-0.28,-0.68,6.37,-0.62,4.11,71
7,201.34,9.61,5.79,-2.24,1.51,-1.31,0.4,29.32,12.44,10.53,5.35,-0.54,6.47,-0.72,3.24,62
6,260.36,10.13,6.92,-1.66,-0.07,0.35,0.34,29.16,21.45,6.17,2.87,0.41,6.19,0.08,3.52,43
5,329.08,10.81,8.17,-2.91,-0.06,-1.54,-1.2,33.09,17.0,-2.54,0.09,-1.95,6.27,-1.54,4.42,35
4,407.9,8.52,5.61,-0.48,0.28,0.35,-0.4,24.75,15.62,-4.2,-1.85,0.05,5.41,0.1,3.28,62
3,497.04,8.04,3.94,-1.61,1.82,-0.11,0.14,33.2,11.59,-2.39,-1.29,-0.81,5.29,-0.54,2.57,63
2,596.72,7.83,4.32,-0.75,0.02,0.45,0.21,36.8,17.75,-3.63,0.07,0.62,5.02,-0.41,2.92,46
1,707.0,7.81,3.34,-0.86,1.59,0.13,-0.04,36.63,14.58,-2.65,1.8,0.45,5.22,-0.27,2.39,90
0,827.8,8.5,3.84,-0.6,-1.0,-0.09,-0.76,49.91,18.69,-3.29,1.7,1.15,6.03,-0.45,3.27,69
