,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_bias_era5,N
8,151.62,8.82,5.55,-2.0,1.28,-0.9,0.3,23.5,12.67,0.08,1.94,-1.22,-0.24,252
7,201.34,9.38,7.9,1.22,2.35,1.29,1.68,26.11,15.5,-2.45,-3.73,-1.37,-2.18,192
6,260.36,10.4,8.54,1.0,1.01,0.97,0.65,37.02,24.25,-9.61,-6.25,-2.24,-0.33,131
5,329.08,8.17,5.82,0.65,-0.12,0.9,-0.64,31.51,16.71,-3.23,-3.88,-2.15,-0.21,122
4,407.9,8.27,5.54,-0.89,1.63,-0.15,0.49,34.77,18.88,3.07,-0.4,-2.78,-0.96,237
3,497.04,7.29,4.15,-0.48,0.54,-0.12,-0.25,36.06,16.1,-1.15,-1.47,-2.24,-0.59,308
2,596.72,7.13,4.08,-0.97,0.4,0.08,-0.0,48.4,19.86,11.52,3.79,-2.5,-0.51,221
1,707.0,6.74,3.58,0.02,1.04,0.12,0.24,44.29,18.97,-6.51,2.36,-2.14,-0.94,362
0,827.8,6.13,4.09,0.18,0.47,0.05,-0.3,51.73,27.09,-11.04,5.43,-1.6,-0.6,287
