,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,11.38,7.6,-9.86,2.87,-5.31,-1.9,46.5,22.75,44.73,20.26,-4.68,5.72,0.28,2.7,13
7,201.34,9.99,7.41,0.77,5.68,0.87,3.82,15.72,9.12,3.14,2.5,-6.62,8.05,-4.34,6.06,20
6,260.36,10.15,8.48,0.21,3.7,0.22,0.53,15.85,15.03,-1.6,3.33,-4.43,8.65,-0.78,5.62,7
5,329.08,5.78,4.1,1.09,-0.0,-0.11,-1.65,26.98,14.68,-6.68,-9.88,-3.0,3.6,1.23,2.23,6
4,407.9,10.65,4.85,1.13,2.8,1.25,1.5,21.62,10.36,-0.71,-5.03,-4.99,9.46,-2.08,3.61,12
3,497.04,9.34,3.71,2.05,5.18,0.25,1.93,16.52,5.5,9.04,0.81,-6.3,8.05,-2.44,3.2,22
2,596.72,5.78,3.59,2.54,1.55,0.88,-0.69,20.98,11.6,5.56,1.04,-2.56,4.6,1.25,2.46,13
1,707.0,6.76,3.42,2.56,2.73,0.9,0.84,23.01,11.18,-12.84,-2.75,-3.62,4.56,-1.27,2.29,25
0,827.8,6.11,3.99,0.28,1.0,-0.11,-0.24,40.6,28.11,-13.16,-12.87,-1.5,4.73,-0.3,3.37,29
