,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_bias_era5,N
5,151.62,9.65,6.26,-3.54,-0.34,-1.26,0.31,28.58,13.3,0.94,-3.15,-2.74,-1.94,245
4,201.34,9.59,6.53,-2.26,-0.77,-0.35,-0.22,32.6,18.17,2.53,3.74,-2.82,-1.25,309
3,260.36,8.7,6.4,-1.46,-1.54,-0.47,-0.35,34.68,19.61,1.91,-1.76,-1.78,-1.21,233
2,329.08,7.92,5.77,0.25,-0.6,0.46,-0.15,47.74,27.88,11.93,8.17,-1.75,-0.7,244
7,407.9,7.67,5.35,-0.35,-0.2,0.31,-0.19,47.27,25.88,5.05,5.85,-1.79,-0.8,339
6,497.04,7.36,4.29,-1.08,-0.05,0.23,-0.2,49.76,19.22,-5.2,-0.77,-2.67,-0.76,445
8,596.72,8.08,5.19,-1.19,-0.34,-0.54,-0.5,53.61,26.01,9.95,-0.86,-2.26,-1.28,253
1,707.0,7.1,4.08,-1.65,0.08,-0.33,0.03,53.59,24.8,9.79,-3.19,-2.64,-0.98,487
0,827.8,6.07,4.4,-0.95,-0.12,0.1,-0.25,59.49,34.04,9.19,-0.2,-1.23,-0.92,434
