,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_bias_era5,N
8,151.62,12.07,9.82,-1.33,-0.17,1.72,-0.62,36.88,26.88,23.98,22.38,-0.58,1.37,43
7,201.34,10.9,9.11,-1.61,-1.63,-0.94,-2.21,31.74,21.27,5.8,10.08,0.2,-0.78,50
6,260.36,10.82,7.38,-0.28,-2.12,-0.49,-2.06,35.52,20.42,-3.9,-0.75,1.89,-0.04,38
5,329.08,12.19,10.05,0.86,-2.28,0.71,-1.28,48.57,29.94,10.51,3.78,1.04,-1.38,50
4,407.9,9.72,5.84,-1.31,-0.93,-0.41,-0.48,51.47,24.35,2.41,9.54,1.91,-0.46,71
3,497.04,10.61,7.94,0.31,-1.32,0.09,-1.55,54.53,31.89,9.88,17.16,2.18,0.16,83
2,596.72,8.75,4.69,0.69,-0.53,-0.49,-0.8,56.4,31.58,-4.91,-1.54,2.7,-0.84,57
1,707.0,8.18,4.83,1.66,-0.74,0.13,-0.38,50.27,30.87,3.76,9.3,3.22,-0.37,75
0,827.8,7.74,3.74,0.07,0.04,-0.46,-0.4,60.83,34.05,-11.13,12.25,3.34,-0.81,64
