,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,10.34,7.91,-1.84,1.3,0.66,0.57,26.64,18.18,6.86,8.13,-0.02,7.37,0.52,5.57,71
7,201.34,8.47,4.69,-1.38,-0.71,-0.81,-1.36,27.69,14.35,1.64,5.84,-0.55,5.99,-0.67,3.36,62
6,260.36,8.51,5.69,-0.6,-0.78,-0.61,-1.22,29.35,16.45,-6.09,-0.73,0.6,6.02,-0.34,3.6,55
5,329.08,9.41,5.74,-0.05,-1.68,-0.21,-0.77,50.53,21.44,8.9,8.22,0.6,5.99,-0.71,3.9,66
4,407.9,8.23,4.47,-1.24,0.0,-0.05,-0.02,49.62,26.63,1.85,4.88,1.36,4.68,-0.28,2.69,95
3,497.04,8.52,4.31,0.54,-0.58,0.31,-0.67,42.09,20.33,8.08,9.5,1.83,5.42,-0.14,2.46,113
2,596.72,8.14,2.98,0.79,0.77,-0.13,0.12,54.44,31.13,-3.05,-0.95,2.32,4.89,-0.48,1.92,68
1,707.0,7.91,3.69,0.87,-0.98,0.05,-0.01,48.11,24.4,4.66,-0.11,2.49,5.29,-0.47,2.63,104
0,827.8,7.69,3.52,0.17,0.94,-0.07,-0.07,55.77,28.6,-4.5,9.65,2.82,4.75,-0.4,2.51,91
