,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,9.41,8.4,-6.74,3.6,-5.62,0.73,39.11,27.37,28.84,21.87,-5.95,6.46,-2.16,4.52,16
7,201.34,10.17,9.89,3.68,4.98,3.27,4.64,16.02,10.83,-9.02,-5.27,-6.46,8.7,-5.45,8.63,38
6,260.36,8.16,6.44,1.92,0.44,-0.41,-0.99,44.72,25.57,-32.05,-1.77,-3.29,5.45,-0.12,3.49,17
5,329.08,5.36,4.71,0.24,2.06,1.46,-2.21,33.54,22.68,30.23,-14.03,-2.53,3.92,1.22,3.01,11
4,407.9,8.95,4.44,0.32,4.61,1.23,1.72,22.66,10.65,2.19,-1.93,-5.8,7.72,-2.91,3.82,27
3,497.04,6.79,3.68,1.18,1.91,0.39,0.19,17.66,5.9,12.45,-0.01,-3.61,5.44,-1.21,3.31,33
2,596.72,7.04,3.47,3.79,1.76,0.19,-0.48,34.41,15.1,-20.46,0.69,-2.58,4.81,0.82,2.15,20
1,707.0,7.52,3.64,3.93,2.46,0.74,0.61,31.03,13.18,-24.82,-1.61,-4.62,5.94,-1.43,2.63,33
0,827.8,7.04,5.09,-0.77,2.01,-0.58,0.29,33.53,23.96,2.81,-9.08,-3.06,5.84,-1.42,4.55,41
