,plev,rmsvd,rmsvd_era5,thresh,month
34,852.7999877929688,7.119834647491422,4.398363222811629,10,january
7,300.0,9.123215432172227,8.01444499419445,10,january
9,852.7999877929688,4.769294047688457,4.398363222811629,4,january
40,300.0,6.02704201287405,8.01444499419445,4,january
34,852.7999877929688,7.056875713581554,4.323810675733541,10,july
36,300.0,8.027373859623927,7.313837252928781,10,july
14,852.7999877929688,4.577324998709567,4.323810675733541,4,july
22,300.0,5.594288541306644,7.313837252928781,4,july
