,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,10.36,6.78,-3.22,-1.06,-1.74,0.11,29.6,12.42,-2.63,-2.47,-4.04,7.93,-2.32,5.33,134
7,201.34,10.08,6.92,-3.19,-1.03,-1.42,-0.53,31.85,18.04,0.85,0.65,-4.28,7.83,-1.44,4.92,151
6,260.36,9.22,6.29,-0.89,-1.56,-1.09,-0.6,31.2,14.4,3.42,-1.66,-2.43,6.91,-1.16,4.78,130
5,329.08,7.75,5.29,-0.88,-0.94,0.01,-0.03,42.05,20.39,15.34,4.61,-1.74,5.49,0.14,3.99,110
4,407.9,7.18,5.0,-1.59,-0.58,-0.26,-0.23,45.62,21.32,7.52,1.86,-2.46,4.91,-0.57,2.8,173
3,497.04,7.26,4.22,-1.77,-0.33,-0.01,-0.39,51.35,18.41,-6.59,1.03,-3.05,5.0,-0.77,2.55,252
2,596.72,8.15,4.82,-1.09,-0.36,-0.1,-0.61,56.23,25.65,-3.76,-2.51,-3.24,5.94,-1.23,3.71,120
1,707.0,6.61,3.61,-1.35,-0.12,-0.38,-0.21,55.23,25.28,9.13,-0.86,-2.97,4.91,-0.86,2.66,242
0,827.8,5.75,3.6,-1.34,0.52,-0.22,-0.12,66.16,36.34,-9.03,2.95,-1.0,3.59,-0.71,2.45,216
