,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,9.46,5.07,-2.88,-1.3,0.11,0.06,31.18,12.49,2.32,-1.44,-4.44,7.45,-0.24,3.51,147
7,201.34,8.93,5.38,-2.74,-0.5,0.69,-0.15,29.23,16.37,-2.0,1.56,-3.93,6.64,0.33,3.75,193
6,260.36,7.74,6.61,-1.51,-1.41,1.26,0.27,31.01,13.37,2.0,-4.3,-2.74,5.82,0.73,5.04,149
5,329.08,7.48,6.36,-0.19,-1.33,0.36,-0.04,41.73,22.41,15.73,4.52,-2.16,5.25,-0.9,4.96,144
4,407.9,7.12,3.19,-0.85,-0.01,0.24,-0.01,48.63,21.76,7.32,4.09,-2.31,5.26,-0.33,1.98,212
3,497.04,6.74,2.74,-1.21,0.0,0.21,-0.18,52.09,17.9,-3.34,-1.51,-3.16,4.77,-0.49,1.73,286
2,596.72,6.95,2.8,-1.03,-0.28,0.15,-0.17,60.54,27.19,7.58,-1.4,-3.1,4.99,-0.49,1.92,160
1,707.0,6.63,2.88,-1.25,-0.31,-0.06,-0.23,60.6,24.62,14.26,-2.26,-3.27,5.01,-0.37,2.19,291
0,827.8,5.47,2.72,-1.31,0.04,0.03,-0.37,61.68,30.88,13.98,-1.15,-1.98,3.79,-0.39,1.93,269
