,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,8.45,5.43,-2.57,-0.1,-1.07,-0.05,19.63,12.16,8.17,1.82,-1.7,6.6,-0.05,3.52,115
7,201.34,9.52,9.21,1.31,2.72,2.45,2.42,17.48,11.89,-4.24,-3.55,-4.22,6.44,-2.58,6.41,106
6,260.36,11.65,9.79,0.21,3.07,1.88,2.22,26.95,20.23,-7.0,-4.21,-2.27,6.67,0.14,3.87,65
5,329.08,7.67,5.09,-1.11,0.14,0.47,-0.03,21.16,13.09,2.04,-10.0,-2.55,5.68,-0.62,3.18,73
4,407.9,7.91,4.88,-1.72,1.4,-0.04,0.29,27.69,14.09,-1.11,-0.35,-3.56,6.17,-0.88,2.93,124
3,497.04,7.12,3.72,-0.83,0.46,-0.03,-0.14,29.86,12.35,2.92,0.13,-3.12,5.37,-0.67,2.34,167
2,596.72,6.42,3.49,-1.24,-0.45,0.11,-0.43,44.19,20.41,8.08,6.18,-2.08,4.4,-0.07,2.16,108
1,707.0,7.05,3.6,-0.77,1.02,-0.29,0.39,41.6,14.78,-10.81,-1.45,-3.29,4.98,-1.13,2.52,198
0,827.8,6.05,3.94,-0.61,0.2,-0.1,-0.48,46.47,24.29,-11.15,1.8,-1.4,4.43,-0.25,3.17,175
