,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,7.44,4.15,-0.3,2.13,-0.13,0.69,26.6,11.68,-6.13,-0.83,-2.23,4.6,-1.0,2.66,63
7,201.34,8.17,5.08,-1.82,2.0,-0.0,0.61,29.08,19.94,-1.48,0.68,-2.07,5.92,-0.82,3.42,60
6,260.36,8.79,5.62,-0.68,2.17,0.28,1.3,37.05,20.85,3.09,5.32,-2.18,5.85,-0.58,3.75,51
5,329.08,8.3,5.02,-2.58,0.64,-0.57,0.08,31.43,17.41,4.05,-1.61,-1.66,5.84,-1.0,3.43,42
4,407.9,7.36,4.7,-0.51,0.03,0.69,0.11,26.8,16.02,-4.61,1.4,-1.66,5.34,-0.68,3.37,64
3,497.04,7.43,4.27,-1.02,1.43,-0.05,0.09,31.49,17.41,-9.37,-3.09,-1.41,5.45,-0.75,2.92,94
2,596.72,6.97,3.71,-1.25,-1.47,-0.35,-0.08,38.78,21.53,2.56,2.01,-0.02,4.75,-0.58,2.76,63
1,707.0,7.12,3.65,-0.35,0.9,0.33,0.55,37.88,18.23,5.72,0.91,-0.48,5.04,-0.77,2.5,108
0,827.8,7.02,4.3,-0.42,-0.6,-0.03,-0.17,39.51,23.84,8.18,2.46,0.79,4.92,-0.61,3.54,104
