,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,9.27,5.98,-2.81,0.02,-1.1,-0.34,21.2,12.47,7.31,3.8,-0.37,6.7,0.49,4.02,114
7,201.34,9.5,8.82,1.6,1.19,2.26,1.94,20.65,13.46,-2.73,-3.08,-2.66,5.7,-2.4,6.1,103
6,260.36,11.13,9.11,0.17,1.38,1.63,1.61,25.18,17.5,-2.42,-4.18,-2.15,6.75,-0.34,3.78,66
5,329.08,7.88,4.84,0.26,0.51,0.75,-0.29,21.98,12.28,-5.53,-8.4,-2.78,5.73,-0.36,3.23,65
4,407.9,8.08,5.16,-2.34,0.55,-0.27,0.15,23.54,14.5,5.05,-0.77,-3.51,6.28,-0.91,3.07,116
3,497.04,7.05,4.16,-0.82,0.86,-0.02,0.08,27.8,14.41,5.41,-2.04,-2.9,5.38,-0.63,2.29,153
2,596.72,6.55,3.48,-1.04,0.24,0.06,-0.36,43.62,17.12,-0.09,1.52,-2.42,4.58,-0.16,2.32,96
1,707.0,7.1,3.47,-0.22,1.5,-0.36,0.48,36.77,13.66,-4.74,0.24,-3.27,5.26,-1.15,2.58,184
0,827.8,7.45,4.61,-1.36,0.48,-0.61,-0.35,46.3,22.51,-4.72,-0.11,-2.49,5.93,-0.74,3.85,158
