,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_bias_era5,N
8,151.62,9.91,6.6,-1.28,0.52,-0.94,0.62,27.21,11.87,6.93,2.33,0.26,-1.7,55
7,201.34,12.39,9.55,-2.07,2.21,-1.02,1.75,38.03,20.42,11.39,-3.74,0.53,-1.55,40
6,260.36,14.31,12.44,-0.44,4.19,1.39,4.23,26.68,23.6,10.33,10.9,-0.68,-2.03,29
5,329.08,14.31,12.05,-2.72,-0.39,-0.65,-1.14,43.73,29.25,-2.59,-1.05,-1.38,-0.92,23
4,407.9,11.78,9.32,-1.39,2.1,-1.41,0.92,35.21,27.2,7.19,9.57,-0.21,-0.44,40
3,497.04,10.06,6.88,-1.2,3.08,0.42,0.7,40.47,21.33,-3.53,-3.53,-0.21,-0.85,52
2,596.72,9.88,7.09,-1.64,0.34,-0.25,0.57,50.6,24.34,-8.69,2.39,0.37,-0.19,37
1,707.0,8.23,4.68,-0.76,1.68,-0.1,0.33,39.82,23.22,-12.22,8.68,0.7,-0.18,67
0,827.8,8.33,4.25,-1.62,-1.1,-0.37,-0.77,49.54,21.43,-12.18,8.55,1.32,-0.64,50
