,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,10.84,7.52,-1.69,0.82,-0.15,0.9,39.72,19.01,4.13,-2.85,-3.06,6.74,-1.94,4.94,78
7,201.34,8.28,5.11,-1.7,0.65,-0.75,-0.85,35.77,18.39,-0.39,4.46,-2.59,5.9,-1.17,3.56,88
6,260.36,8.33,6.4,-2.72,0.1,-1.72,-0.41,34.19,21.02,-8.45,-6.69,-2.14,5.93,-1.42,5.19,73
5,329.08,8.16,5.92,-0.8,-0.95,0.29,-0.73,47.21,30.75,5.89,12.93,-0.12,5.53,-0.46,3.3,82
4,407.9,7.65,4.35,-0.62,-0.52,-0.16,-0.14,49.66,22.44,-3.97,-2.46,-0.71,5.28,-0.76,3.17,106
3,497.04,7.55,3.54,-0.88,-0.07,-0.21,-0.14,43.03,21.16,0.22,-1.91,-0.35,4.64,-0.86,2.36,145
2,596.72,7.0,3.6,-0.6,0.49,-0.2,0.03,46.63,22.43,-0.08,3.61,0.72,4.35,-0.46,2.53,90
1,707.0,7.1,3.96,-0.79,-0.07,-0.42,-0.24,48.13,23.49,-3.65,1.73,-0.04,4.7,-0.81,2.94,159
0,827.8,6.68,3.61,-0.89,0.19,-0.39,-0.23,58.27,30.61,-11.05,-0.38,0.95,3.96,-0.66,2.69,144
