,plev,rmsvd,rmsvd_era5,u_error,v_error,u_error_era5,v_error_era5,angle,angle_era5,angle_bias,angle_bias_era5,speed_bias,speed_rmse,speed_bias_era5,speed_rmse_era5,N
8,151.62,9.68,6.24,-3.06,-1.09,-1.28,0.11,32.13,13.59,2.0,-0.57,-4.43,7.6,-1.95,4.7,154
7,201.34,9.71,6.44,-3.25,-1.12,-1.04,-0.48,30.65,16.95,0.48,2.37,-4.5,7.31,-1.46,4.47,206
6,260.36,8.13,5.29,-1.72,-1.69,-0.87,-0.39,32.05,14.08,2.92,-3.09,-2.94,6.08,-0.97,4.23,157
5,329.08,7.49,4.77,-0.2,-1.5,0.51,-0.28,43.23,22.45,13.4,5.33,-2.29,5.27,-0.09,3.04,152
4,407.9,7.1,4.5,-0.85,-0.25,0.25,-0.26,48.43,23.41,7.47,6.85,-2.27,5.22,-0.59,2.84,221
3,497.04,7.01,3.78,-1.55,-0.3,0.22,-0.28,52.57,18.69,-3.22,0.4,-3.4,5.08,-0.69,2.31,297
2,596.72,7.92,5.04,-1.47,-0.48,-0.36,-0.27,58.61,27.98,9.4,-0.56,-3.37,6.29,-1.08,4.15,168
1,707.0,6.66,3.44,-1.44,-0.29,-0.11,-0.19,58.5,24.32,13.09,-1.02,-3.41,5.13,-0.72,2.5,305
0,827.8,5.55,3.53,-1.3,-0.08,-0.09,-0.36,63.0,33.5,14.34,-0.09,-1.86,3.76,-0.63,2.43,285
