
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    33791    TIME = 200701/1200         
 SLAT =  48.03     SLON =    33.21   SELV =   124.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1001.00   300.75   287.75    44.96     0.68    -1.88   124.00
   1000.00   300.55   287.55    44.91     0.68    -1.88   110.00
    976.00   297.35   283.35    41.19     0.78    -2.86   323.58
    951.00   295.22   282.19    43.34     0.69    -3.94   548.61
    925.00   292.95   280.95    45.83     1.37    -3.76   789.00
    858.00   287.08   276.86    50.10     1.93    -2.30  1428.35
    850.00   286.35   276.35    50.69     1.93    -2.30  1508.00
    794.00   281.15   274.15    61.28     0.17    -1.99  2075.69
    758.00   277.75   269.75    56.11     4.37    -2.32  2456.13
    740.00   278.35   270.35    56.27     6.47     0.19  2652.14
    700.00   274.95   266.95    55.36     3.42     9.40  3103.00
    693.00   274.38   266.38    55.20     4.23     9.06  3183.88
    678.00   273.15   265.15    54.87     4.67     8.54  3359.99
    636.00   276.75   259.75    27.62     5.69     6.91  3876.12
    597.00   273.95   254.95    22.64     6.27     5.24  4387.37
    514.00   266.85   250.85    26.93     6.13     1.60  5574.68
    500.00   264.85   249.85    28.76     5.91     1.04  5790.00
    493.00   263.99   248.99    28.49     4.83     1.29  5896.15
    483.00   262.74   247.74    28.09     4.83     1.29  6050.43
    400.00   251.25   236.25    24.42     5.91     1.04  7470.00
    364.00   245.81   232.12    26.03     4.98     0.44  8142.05
    300.00   234.65   223.65    30.42     6.58    -2.39  9520.00
    280.00   230.71 -9999.00 -9999.00     6.93    -4.00  9981.66
    250.00   224.25 -9999.00 -9999.00     8.16    -3.80 10740.00
    210.00   215.45 -9999.00 -9999.00     8.76    -2.07 11862.47
    200.00   215.05 -9999.00 -9999.00     8.86    -1.56 12170.00
    183.00   213.65 -9999.00 -9999.00     9.85    -1.74 12728.54
    165.00   214.59 -9999.00 -9999.00    11.28    -4.10 13380.17
    152.00   215.33 -9999.00 -9999.00    13.52    -3.62 13896.64
    150.00   215.45 -9999.00 -9999.00    13.79    -2.43 13980.00
    100.00   214.05 -9999.00 -9999.00    11.95    -1.05 16530.00
     70.00   214.85 -9999.00 -9999.00     8.97    -0.78 18790.00
     50.00   218.45 -9999.00 -9999.00     2.46     1.72 20930.00
     30.00   221.05 -9999.00 -9999.00    -5.80     1.55 24210.00
     20.00   225.65 -9999.00 -9999.00    -8.97     0.78 26830.00
