
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LBSF          STNM =    15614    TIME = 200103/1200         
 SLAT =  42.65     SLON =    23.38   SELV =   595.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    955.00   277.55   268.55    52.00     0.64    -0.77   595.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   214.00
    925.00   274.35   267.35    59.58     2.72    -1.27   848.00
    916.00   273.75   265.75    55.03     3.82    -1.56   926.61
    909.00   275.70   263.52    40.22     4.70    -1.71   988.67
    901.00   277.95   260.95    27.98     4.28    -2.59  1060.19
    873.00   276.55   255.55    19.79     1.61    -4.73  1316.80
    850.00   275.75   264.75    44.13    -1.29    -4.83  1533.00
    848.00   275.75   264.75    44.13    -1.29    -4.83  1552.04
    846.00   275.69   264.01    41.82    -1.29    -4.83  1571.08
    822.00   274.95   254.95    21.08    -1.46    -5.45  1803.22
    809.00   274.05   257.47    27.79    -1.55    -5.80  1930.94
    781.00   272.05   263.05    50.44    -4.86    -5.67  2213.15
    771.00   271.92   254.94    26.24    -6.13    -5.14  2315.80
    766.00   271.85   250.85    18.52    -6.09    -5.52  2367.63
    745.00   271.25   243.25     9.69    -5.68    -7.19  2588.61
    733.00   270.25   258.25    39.11    -5.27    -8.17  2717.35
    727.00   269.71   257.71    38.94    -5.00    -8.66  2782.14
    709.00   268.05   256.05    38.42    -5.18    -6.96  2979.79
    700.00   267.65   251.65    27.17    -5.14    -6.13  3080.00
    666.00   266.05   242.05    12.79    -7.17    -7.45  3469.78
    648.00   265.05   247.05    22.02    -8.37    -8.07  3683.21
    630.00   263.65   259.95    74.42    -9.66    -8.62  3901.78
    616.00   262.46   257.23    65.42   -10.72    -9.00  4075.13
    609.00   261.85   255.85    61.17   -10.54    -9.80  4163.29
    559.00   256.45   254.55    85.19    -7.35   -15.69  4814.94
    555.00   256.25   249.25    54.59    -6.94   -16.14  4868.96
    552.00   256.05   253.45    80.19    -6.61   -16.47  4909.71
    548.00   255.71   253.34    81.72    -6.16   -16.91  4964.30
    545.00   255.45   253.25    82.90    -6.38   -16.70  5005.50
    535.00   256.05   243.05    31.42    -7.09   -15.97  5144.47
    519.00   255.05   248.05    54.24    -8.13   -14.72  5372.11
    500.00   252.85   246.85    58.71    -9.18   -13.11  5650.00
    491.00   251.85   246.95    64.62    -9.78   -12.93  5783.81
    461.00   249.45   234.45    23.84   -11.86   -12.10  6245.03
    430.00   244.65   235.65    41.71   -14.09   -10.80  6746.90
    421.00   243.80   231.73    30.09   -14.74   -10.32  6897.22
    407.00   242.45   225.45    17.28   -15.29   -10.70  7137.57
    400.00   241.25   225.25    18.95   -15.56   -10.90  7260.00
    347.00   232.22   221.66    31.09   -15.32   -12.86  8231.81
    308.00   224.65   218.65    49.64   -17.00   -10.54  9046.95
    300.00   223.45   215.45    38.45   -17.32   -10.00  9220.00
    284.00   220.65   211.65    32.83   -19.41    -9.25  9573.60
    266.00   217.45   215.45    78.14   -21.88    -8.01  9990.33
    254.00   215.65   208.65    40.47   -23.58    -6.90 10280.78
    250.00   214.65   208.65    45.86   -24.15    -6.47 10380.00
    237.00   211.65   207.65    58.79   -24.94    -5.46 10713.82
    226.00   209.80   203.27    40.74   -25.61    -4.51 11007.29
    224.00   209.45   202.45    37.93   -24.80    -4.37 11062.18
    214.00   207.43   201.40    42.75   -20.68    -3.65 11339.50
    201.00   204.65   199.95    50.74   -14.74   -10.32 11720.06
