,edges,rmse,shear,shear_era5
0,"-30,30",1.8066771559823942,6.659578467200721,6.579634641365955
1,"30,70",1.7845863235986512,6.193003709765337,5.994238343944248
2,"-70,-30",1.8112588726125127,10.022407673261597,9.974362480137394
