,pressure,error_sum,speed_sum,denominator,angle_sum,angle_denominator,yield
0,828,83860.79274626952,16682.709250567932,1692.275174671402,74373.91665225905,1692.275174671402,1979
1,707,83071.49258019227,16224.813932229656,1663.1915838101488,74429.0545423153,1662.2152878030288,1943
2,597,78318.63469910139,16400.46852432878,1573.996898313243,63416.84282576529,1573.0542568221508,1828
3,497,73718.606376212,16361.818434964747,1506.0564469901892,56900.25726563587,1506.0564469901892,1732
4,408,67573.83316864546,15355.182599771506,1359.86471623617,49973.96682279178,1359.86471623617,1568
5,329,67042.94400313537,15437.039871237765,1365.3094660526476,47966.96429359866,1365.3094660526476,1570
6,260,54048.77974254885,13136.642828222173,1109.540103195478,36182.56826929819,1109.540103195478,1259
7,201,54699.49248432289,14063.87575624688,1121.8379670191277,33228.543755063634,1121.0238515007716,1274
8,152,50194.14799980798,12558.136020119497,1035.3601522151748,32696.37474502724,1035.3601522151748,1191
