,edges,rmse
0,"30°N,30°S",6.073177436015476
1,"60°N,30°N",5.562016505488025
2,"90°N,60°N",6.127840143646216
3,"30°S,60°S",6.744285333400572
4,"60°S,90°S",6.352323020534414
