,pressure,error_sum,speed_sum,denominator,angle_sum,angle_denominator,yield
0,828,242022.24393148551,40869.885863710406,7844.565164353839,403514.3318213822,7844.565164353839,9119
1,707,231579.5539734913,41520.654149405935,7421.6645178379495,345943.3495950318,7420.830632015883,8607
2,597,235250.28741572428,43396.6199027068,6798.602171530311,306193.3459673854,6797.665499341062,7805
3,497,231643.27258922925,44740.7064557872,5981.835541942968,248918.86285345798,5981.835541942968,6837
4,408,208700.41607473048,46689.450574030256,5415.134648868585,193127.73244277964,5414.300763046518,6118
5,329,168998.2972461573,43944.635814055,4248.447077390949,136444.4422827533,4248.447077390949,4815
6,260,142167.97963971266,40454.50452244282,3462.8575356285,109596.2792764906,3462.8575356285,3964
7,201,130775.53798477043,34850.0885245264,3117.382583640272,100798.42737867296,3117.382583640272,3543
8,152,133609.8367948414,37237.94430346187,3204.5739385948855,95753.15842574534,3204.5739385948855,3644
