,pressure,error_sum,speed_sum,denominator,yield
0,103,166177.00139811847,32168.658996428756,4365.69830296013,4958
1,110,173601.54274225672,33046.80769220572,4425.410562343836,5048
2,118,145555.33695769653,25107.892726456004,3353.2457217444667,3827
3,126,137391.701678102,23118.39222685961,3368.431076070686,3818
4,134,134742.43625000276,21577.298424009874,3350.838300618636,3791
5,142,118937.53004784825,19647.286003445326,2888.086655368739,3242
6,151,129807.4600303095,22942.22833584302,2891.259717350899,3298
7,160,123662.23261289847,21447.00322771575,2799.6196223668435,3221
8,170,107651.62442128368,18816.779030472706,2405.3680234274675,2732
9,180,111306.17988906274,24196.450173829428,2572.5307240984757,2921
10,190,118306.14675674244,25879.76008075559,2645.9432259194514,2993
11,201,117752.88390090947,27200.648940980453,2662.193664773023,3012
12,212,121173.5682043506,29028.22125035366,2706.1812512401584,3071
13,223,121589.82121070528,29893.331748016957,2768.6725822824087,3136
14,235,122116.12091694878,29265.959808003692,2789.177886840523,3162
15,247,136664.9459050055,30141.688028524724,3019.134070422361,3405
16,260,131927.440838012,29414.6001133942,2926.026660452064,3301
17,273,127838.97212387683,28839.557577943517,2892.823521433662,3265
18,286,145720.1531693702,32823.70739806914,3452.76308566122,3858
19,300,146239.99400150916,30454.25099998926,3400.6241423296497,3797
20,314,147574.99448889584,30297.93861883979,3336.8443127741884,3773
21,329,156488.3700217362,32505.888063809267,3555.11255550748,4057
22,344,150731.0835465205,30677.860029553725,3426.221999108828,3926
23,359,159071.33894071684,29432.08337021405,3664.9272111765854,4141
24,375,165218.42263384673,28613.946569470623,3838.012917346295,4308
25,391,175617.25158499044,34739.277908829754,4117.661545937506,4691
26,408,152206.22163219674,32038.580165351756,3803.3443064991384,4326
27,424,157728.61921776508,30970.904367199462,3841.384692761727,4339
28,442,180475.7676144333,36338.08445644275,4441.482471863674,5048
29,460,167058.9060479982,33317.46617901679,4279.252911303866,4846
30,478,195529.62644365744,34921.088649683974,4871.832543337869,5536
31,497,206031.85995227253,38091.5702510117,5339.474468918595,6041
32,516,196474.60070057015,35511.30916642482,5222.527741694759,5896
33,535,210930.48344778884,39055.06901790005,5480.726503818916,6193
34,555,205846.37039028166,36316.79709904391,5430.332380248206,6150
35,576,204595.03262737006,37508.573744598165,5799.9648025466495,6578
36,596,224496.7500593196,39040.18740064374,6374.651365517025,7220
37,618,242580.6280193435,38064.75348468493,6250.146921656784,7074
38,639,225165.42901957314,34699.35799603547,6092.243247478793,6963
39,661,221552.58100847385,35796.30302956267,5981.522937064577,6848
40,684,229058.93999320542,35488.08896310501,6412.553581698677,7340
41,707,228647.1768969186,33614.90741207112,6117.268302994886,7012
42,730,228044.68618941933,32361.995269219286,6006.762237655535,6943
43,754,228106.40023339586,37468.58634928065,6088.369328333478,6967
44,778,246976.95083336317,38821.62454599028,6357.041592743013,7295
45,802,240950.4992455296,41010.65408869213,6460.834679672585,7413
46,827,232290.6308236963,38344.0232343586,6419.629921632974,7387
47,853,208799.4599947889,34520.86148691411,5795.032983434146,6639
48,879,206903.86514727335,34065.80462703404,5560.340454983766,6336
