,pressure,error_sum,speed_sum,denominator,angle_sum,angle_denominator,yield
0,828,259714.10414089676,60692.43279557026,7348.007245624952,286948.0336288437,7346.351353684706,8565
1,707,262308.0665684765,61602.187956132795,7360.125245936929,279463.11572947796,7358.558074248574,8568
2,597,248665.76656413512,59628.44025399251,6988.444450027868,258452.91978032235,6988.444450027868,8096
3,497,234883.86458482148,57881.93786713463,6529.326790001989,226573.82076655416,6529.326790001989,7541
4,408,216725.22358067246,52923.99211874174,5806.585101713009,198371.02686934592,5805.588184379276,6674
5,329,197170.31071400654,48035.36285021781,5194.49885653878,170860.27419632807,5191.843912114983,5921
6,260,174778.9555994881,44619.368088686264,4574.333661886408,137853.5582431726,4570.643727549548,5176
7,201,154016.1907733316,39724.65599523225,3947.5274314371327,110402.83544975663,3947.5274314371327,4477
8,152,156856.913231672,39530.15648980659,4028.354075313766,121639.89237236636,4026.7488137744576,4621
