,pressure,error_sum,speed_sum,denominator,yield
0,103,5289.044379131156,3560.82235963019,659.6835721051258,758
1,110,5715.136939841461,4380.1829133694855,744.5604511248055,828
2,118,4481.43028064335,3667.7017130638187,587.7326869111887,634
3,126,3971.824320404033,3157.384890694797,500.44965661572553,565
4,134,4212.425232051663,4522.373584603718,564.8627481972514,630
5,142,2696.833620875825,3048.2780794795126,345.7430567617507,395
6,151,3370.0699770656197,4125.971350838607,439.71887799170446,501
7,160,3223.6427131666983,3291.4278110435416,391.64786668133695,441
8,170,3146.1012701675304,3089.8120920626384,404.53354658715546,464
9,180,2294.1256614458866,2416.763788773862,285.4504924336913,326
10,190,3111.6657035210987,3685.6681754252513,396.3618855727618,448
11,201,2673.135816397753,3262.0177353432678,346.9961478607518,392
12,212,2935.2331427552417,3638.25072746566,374.04420308917497,423
13,223,2863.799363940785,3224.0915250480152,365.6659751446016,423
14,235,3370.287878585562,4456.12781735936,463.29686713309053,534
15,247,3620.8174911227266,3655.266718313477,457.2465983533307,517
16,260,3463.375363390176,3433.4876914737156,438.92828171689956,488
17,273,3160.9281886939043,3241.5302822056697,410.3685648976897,462
18,286,3656.75565572202,3779.27023620852,491.58210530258305,557
19,300,3493.478036904764,3733.515694163143,444.4671894086674,515
20,314,3644.745127578344,3766.930479117691,463.53662057105214,539
21,329,4326.498201503717,4723.435163777533,578.3139357975786,662
22,344,4246.75364274946,4541.347256763102,570.6065280436553,654
23,359,4741.062372902865,4440.738411830693,599.7998212019577,674
24,375,5101.522048038421,4375.878884088035,639.7407297080364,728
25,391,5575.715119019242,5155.69791499187,700.3155102400978,799
26,408,6275.548489823115,5151.358300848079,838.405095791639,940
27,424,7247.634432695409,5596.149305159133,952.8386030342941,1075
28,442,8023.496227079126,5636.9350154703625,1029.6200845959868,1164
29,460,9124.36733124459,6371.0742820845935,1231.3918213783313,1359
30,478,9232.923618187588,7154.147557892178,1245.2645866740095,1401
31,497,9930.879937011197,6851.754616308285,1282.3696009608634,1455
32,516,10608.141333245296,8277.979467121926,1418.0513314915984,1622
33,535,10490.84025387119,7690.875117872558,1314.90953473888,1531
34,555,10182.821401612937,7401.6855895446,1367.0474704155151,1576
35,576,11541.996356096322,8301.613085224766,1497.0320857452616,1720
36,596,9975.93302392255,6450.671033458617,1305.2689009700416,1485
37,618,10584.902980613766,6725.185304701761,1373.2650747531052,1555
38,639,10797.642074106323,6109.134720643317,1446.7067371477544,1656
39,661,11280.091658547939,6838.707904676697,1501.9801417909725,1725
40,684,11349.569350806078,6570.101782998154,1484.3433911523593,1736
41,707,11035.279935686483,5944.105868377454,1391.9271165686487,1637
42,730,12474.53615031086,6683.0266589619805,1685.3537642992007,1956
43,754,12597.894308977398,6975.807536487609,1596.5292057600593,1864
44,778,10510.22474269166,5979.148511143825,1394.092106611007,1614
45,802,12274.339929557966,6949.430836345457,1591.9376886310267,1835
46,827,12676.832384975383,7682.194942758562,1738.501637436394,1976
47,853,11502.496122276774,6994.252267273964,1621.8855084579945,1829
48,879,9864.4335578896,5650.267354650102,1356.502557346624,1572
