,pressure,error_sum,speed_sum,denominator,yield
0,103,5153.470950375637,4019.104389705268,614.744865594799,685
1,110,4581.427476979935,5258.845375085831,565.5461184796322,637
2,118,3162.822918298747,4454.844413805582,416.6807432482946,461
3,126,2111.7337532076317,2630.6811700293615,271.2353469127856,290
4,134,2786.80354342907,3879.9013714309526,352.3738541184571,387
5,142,2618.2240972145532,3251.5811418816124,326.4818958913727,356
6,151,2503.778193337441,3100.4882457531317,315.8162088951162,367
7,160,2688.631712761974,3498.7555676291518,340.8405281391759,396
8,170,2507.818168629368,3316.7255837132175,310.80514495841766,348
9,180,3249.4015312048605,4262.728666219143,427.21621285523423,478
10,190,2299.91393818166,3040.3569652210235,321.172734602884,371
11,201,2524.948403457791,3495.2835527791344,324.9396990964132,371
12,212,2128.6507978237787,2491.5964911720857,303.43470314178,350
13,223,2190.0699523535413,2771.441877145372,297.2563733585017,344
14,235,2614.2389705521,3194.6569237320055,340.9023834183776,392
15,247,2895.419526872269,3884.7727619171246,364.91765336578896,419
16,260,2794.930642692055,2997.7060184928646,368.2524155745602,410
17,273,2905.885071627289,3147.1755857347243,389.18957747122863,433
18,286,2992.0574087812042,3766.022187266326,380.08724893938256,429
19,300,3310.137369591294,4185.476625578172,414.5146244657252,472
20,314,2364.2412461897234,2936.4701805350364,280.3903280335567,324
21,329,3212.9557004475937,3236.639123319521,399.20054414086684,443
22,344,3349.7153184210197,3192.17532109437,414.377952867823,456
23,359,3828.7949783213753,4253.102502344912,506.34704831948517,557
24,375,4599.3303611633155,4592.169933578292,602.916196570678,658
25,391,5688.2748583892,5562.0859494109545,796.8294466452857,879
26,408,5212.303426144027,4937.103370448237,698.7046115232573,758
27,424,6069.981786689418,5696.785259482379,769.154646740476,850
28,442,6483.102266675225,5558.418317246688,840.4337426764581,923
29,460,6493.176744837641,4907.075940447111,829.8990472483345,910
30,478,6057.520194849403,4638.521880881411,761.2669827625608,846
31,497,5605.366353681652,4308.032285848759,721.1461389813774,798
32,516,6673.087373765371,4844.642428156081,833.9986466523013,913
33,535,7926.921049069416,5252.338696910414,1021.603153398186,1126
34,555,7021.178977214683,4667.187402455783,956.5277770397691,1063
35,576,8962.245425822026,5494.325675328616,1125.239941982605,1240
36,596,8904.05797265202,5780.771316327443,1193.348618537824,1304
37,618,9783.71279662216,6488.475976150398,1276.2469769365687,1403
38,639,8994.319449303439,5909.3934546089,1238.3342540843867,1385
39,661,9428.465992110969,5887.315452531547,1236.7861670823481,1378
40,684,8722.531599238255,5333.659873052592,1114.2729044069392,1261
41,707,8462.046003316687,5197.984634500552,1042.8649336543353,1201
42,730,8993.616979678154,5243.538539044098,1172.6079106354869,1351
43,754,9279.714061250143,6164.568042807677,1206.5774166485687,1365
44,778,10909.1674507008,6449.515855854357,1407.0996184109144,1592
45,802,11447.005758155832,6755.912862973174,1525.1443634255202,1740
46,827,12031.814533025263,7418.932792058935,1574.5923484707084,1817
47,853,9263.44315658167,6319.6902455560075,1239.858281412445,1455
48,879,8437.25655228322,5447.065546780157,1146.3525676657493,1332
