,pressure,error_sum,speed_sum,denominator,angle_sum,angle_denominator,yield
0,828,1044931.5717542277,49123.09952592409,9339.400823052227,619687.5607177663,9338.76474483195,11009
1,707,1671006.6720664802,56807.547681422504,9494.183160639024,607226.7096221097,9494.183160639024,11179
2,597,1980579.4023982289,59994.28634065445,9581.20407920362,605935.9201913794,9580.55463115529,11280
3,497,2955985.125000014,73833.14445147589,9584.519598178478,581433.4271774717,9584.519598178478,11284
4,408,4754667.063414177,99102.17736619405,9583.794223807465,557919.8002206202,9583.794223807465,11283
5,329,5769418.413089918,109684.30323618618,9584.519598178478,567162.9027711762,9584.519598178478,11284
6,260,9471894.999896063,133028.94691482172,9584.519598178478,597969.4106947691,9583.533312576943,11284
7,201,10145866.549215863,125687.27052540745,9515.91364781306,627341.8336048659,9515.91364781306,11174
8,152,8714184.453677826,125143.98852751695,9579.012952725987,572892.1291010552,9579.012952725987,11278
