,pressure,error_sum,speed_sum,denominator,angle_sum,angle_denominator,yield
0,828,2173.7277374922605,2393.325122535551,275.87128144143617,5192.02269203716,275.0674245808189,326
1,707,1972.2378416211113,2270.8424248870792,245.63605930714348,4401.381496925095,245.63605930714348,294
2,597,2408.9289974659264,2926.6210663604825,295.88189871309385,4715.703534270273,295.88189871309385,351
3,497,1640.1840205408448,1999.8514895105586,212.10692672753464,3290.0568255908647,212.10692672753464,251
4,408,1691.215222431977,2301.7627668317664,212.54410757972232,3148.011632484629,212.54410757972232,248
5,329,1555.1139192332184,2017.6368073181147,191.16891264528607,2761.1345918599172,191.16891264528607,220
6,260,1491.0288507592884,2054.4862658069223,188.82580357170897,2519.7049753287383,187.83435871033515,215
7,201,1342.9702205319188,2093.2605718669397,174.98741711207285,2573.292888254678,174.11706141613294,201
8,152,1298.601490402104,1908.1033944768503,166.98706371620767,2164.418471837954,166.98706371620767,193
