,pressure,error_sum,speed_sum,denominator
0,103,12342.919697549696,6579.55954636773,1050.1924218629238
1,110,10504.858543562796,5549.318683760614,877.721066585794
2,118,8588.845286729325,5492.334022116161,760.5884328963715
3,126,8956.637235118205,5966.061116081387,787.9513061991947
4,134,8806.457354103919,6630.01960074441,680.0620574168801
5,142,6444.98979346252,5287.5729635060225,513.6969779865049
6,151,6043.53927252647,5471.688664645765,503.0814351195438
7,160,5877.321207710864,5554.993291482841,493.209401277954
8,170,5620.279377434946,5910.093657265314,463.4698237227472
9,180,5749.2161109223525,4806.31772175048,451.75229548160513
10,190,6097.845449999873,5405.055169343719,514.4861264818879
11,201,5813.04665245777,5769.564826671755,489.2426623343699
12,212,5537.030325559416,5990.490430045953,444.3677342461514
13,223,5808.564938942023,7324.981996722139,501.6320312407545
14,235,5790.361081049952,6943.304652581357,506.78434914829757
15,247,6660.964860821348,6355.253465562529,577.0880518972081
16,260,7091.163613577984,5961.485949490067,589.6766484531975
17,273,6404.506488845093,5665.05826342336,556.2245225675406
18,286,7842.0938571033685,6211.848457639825,674.8920475399599
19,300,8502.9311581809,5670.714998635681,676.985119292814
20,314,6974.906632973183,5852.884767059686,566.9009087116466
21,329,6110.93530593461,5299.3017560918115,498.8326800064432
22,344,7748.528394093293,6241.137411336166,613.4294266735801
23,359,7211.384328362488,5955.468059502673,671.8097422694815
24,375,6287.853410299422,5072.649757782926,566.2805082882247
25,391,8077.268020556558,5850.1425212646745,647.7208628626161
26,408,7470.682925612114,6387.887581968165,630.682972663758
27,424,8716.829399546526,6625.485538297685,755.200024049152
28,442,9933.215639137163,7086.166011428249,800.242716797937
29,460,10505.794479764452,5411.390312280213,856.5470155245581
30,478,12506.86522946339,7670.255896830728,1030.9307236138397
31,497,13031.121574734614,8571.904134781198,1066.5803580115235
32,516,11969.032461073768,6305.667696272906,1014.1684625160301
33,535,14551.43432215902,8387.673014191058,1283.7767978341924
34,555,13239.824849171426,8024.969889675884,1154.9250482659866
35,576,16033.722721983684,7872.486204914787,1336.101916841899
36,596,14937.725511874753,6481.493826074255,1229.4595450305426
37,618,16769.780307779616,7806.407410792015,1396.5572165420704
38,639,17219.32856827916,8064.801887098372,1391.477926236344
39,661,17427.840221364906,9327.707420824256,1577.5594251488217
40,684,19486.971662569864,10262.781982330573,1785.3316820906086
41,707,23179.053169967756,11855.87768847237,1981.0313336758513
42,730,19580.56427772192,10558.385617243312,1712.794539375904
43,754,19252.116063609345,10326.455341977362,1637.2342724805985
44,778,18349.704691161947,9429.203944485054,1511.8400278573242
45,802,17868.103214482962,8441.521194823848,1502.4004624634028
46,827,15087.036531715115,8889.507413149453,1278.4272707235457
47,853,16529.51943758831,8269.539699126526,1360.2439706376513
48,879,15842.355690098562,7443.439293935466,1279.4615095326958
