,pressure,error_sum,speed_sum,denominator,yield
0,103,127949.53518293353,23338.744989819235,2829.6115636364448,3137
1,110,145655.4139366753,28267.341698610573,3006.6986223018553,3429
2,118,117330.5092899494,25584.985858747485,2567.6485322059552,2861
3,126,106959.91255706553,27136.47232279872,2385.0707866957173,2713
4,134,112528.12529363045,29008.849212957375,2574.4484619487225,2929
5,142,116386.77904078225,29248.35636399289,2474.894075199603,2778
6,151,94685.44436757936,28566.761103850076,2222.0909262281616,2532
7,160,94447.93991949414,31178.384731362265,2253.0823401408825,2579
8,170,86617.19500870153,29405.323784136042,2012.3890421660892,2309
9,180,88813.74437139161,25267.273609598946,1915.9411368300273,2205
10,190,105975.59279536786,26695.936140085785,2293.315252546017,2580
11,201,102187.71248067469,27986.352633223636,2286.8821463364875,2576
12,212,97189.8361796371,27250.46583433489,2222.6773426118857,2494
13,223,95409.59697485298,27347.10314494298,2161.7714051414396,2422
14,235,87340.91227614532,26140.60819469263,2026.8937350568608,2280
15,247,92380.45928281946,25109.236853187424,1906.1320793823136,2172
16,260,101016.22984295728,25831.356718247192,2032.538885501596,2298
17,273,97182.97405856114,27193.76728778648,2037.9821372573683,2308
18,286,104573.62635574293,28915.572450087497,2156.4397483472335,2428
19,300,106909.8610735801,27110.768744261506,2269.255753519203,2549
20,314,117873.5225168784,26352.084480566577,2619.6829464921143,2907
21,329,130385.2996741567,31442.577150243702,2942.6877160210756,3300
22,344,127068.28681201293,33402.860105310654,3013.0987615997797,3384
23,359,130957.145914236,36999.07479321705,3088.5263760655953,3465
24,375,131221.08613365178,34392.42590470812,2960.7908337818358,3325
25,391,124711.02944026749,30944.57495215233,2964.328790689123,3384
26,408,112271.7626802428,29254.155937499607,2641.338936363329,3021
27,424,130844.71701660463,27696.605145265912,2815.3403459938995,3176
28,442,145987.7838633418,31859.42638400335,3531.672651061942,4007
29,460,158592.31763174754,33760.65383897552,3651.9842544150424,4118
30,478,146590.2413104064,31525.270408748987,3649.7768585565245,4167
31,497,159490.50857290177,32053.323869214735,3919.942910491972,4411
32,516,159504.30648918566,35517.6322780136,3992.4296747913195,4517
33,535,162478.05527378543,38068.96381053151,4220.292455214639,4811
34,555,173077.0293465197,34681.95531640165,4457.375566661064,5015
35,576,174264.66485780868,34865.866655836115,4481.501358117039,5090
36,596,179607.12394538303,33472.663238733185,4571.480579067761,5173
37,618,171644.98271223254,31138.144546159074,4331.059459075728,4882
38,639,197256.13008575645,38080.250509835525,4806.316059906533,5476
39,661,195321.8376344182,37010.53831553739,5009.732957337922,5656
40,684,190211.9322241707,38169.17458678092,5557.336009683978,6312
41,707,194785.44234744238,38426.984074221626,5420.795453090162,6144
42,730,224395.7307807471,38529.25400496865,5733.06292442844,6563
43,754,225895.17836352388,37033.20654726103,5858.196209209617,6722
44,778,214263.31501316818,37890.44923314954,5990.261380230988,6851
45,802,224140.32846649425,37045.83800807921,6019.031979236806,6875
46,827,205602.5496193584,36076.541171392244,6048.128048537782,6907
47,853,184154.13208651444,32847.47794474199,5825.3831534504125,6681
48,879,179924.55499328693,28114.16871111611,5023.27015147395,5840
