,pressure,error_sum,speed_sum,denominator,yield
0,103,3460.8968209358663,4080.8116461160657,438.50747911975037,483
1,110,4040.027979610891,5480.375600198643,508.8239297019221,567
2,118,2755.520910095504,3581.0531330050894,358.7290536840606,387
3,126,2269.859876311723,2406.1286488885876,280.9331130897874,306
4,134,2000.3743613213808,2651.530879352496,250.32293127502092,270
5,142,1611.8739708835346,2264.401328199931,189.93410588820606,207
6,151,2086.189781878367,3124.1508695098905,244.23770617129315,274
7,160,2321.643752099726,3480.8679370689274,298.1903745001326,332
8,170,2700.4130482064634,3656.052491461,353.4996504338834,403
9,180,1588.996065444476,2111.5713092254446,195.20477733674042,212
10,190,1712.8027264767625,2357.686985595854,228.68673499186608,254
11,201,1668.0217821071726,2240.9731120012584,199.50891452367182,230
12,212,1481.741738292274,2267.349618745763,194.4587074477192,227
13,223,1832.1974570521593,2439.2989425489445,224.942770926639,258
14,235,1508.29817628971,2192.74373058393,191.30855799587377,216
15,247,2272.366794751909,3198.3837431103984,280.111400040125,319
16,260,2369.9314665790616,3807.4572108536236,287.2871341141229,328
17,273,2319.7657754755646,3741.034348587743,278.8984168520915,326
18,286,3431.6149360386266,4735.271432478005,440.69490143954846,508
19,300,3393.2707419564827,4285.554515633587,435.043555349038,485
20,314,3285.912169386788,4190.012920816234,436.8912865525543,495
21,329,4294.37410873066,5335.047087032211,546.2488533501188,630
22,344,5053.016763189801,5978.8922044882465,643.2569571793265,726
23,359,4667.663546510246,5374.256488256468,597.5088796009119,672
24,375,5196.909667549411,5481.114183781856,693.2518089329822,772
25,391,6006.9895965051755,6733.678103615189,767.4059311861483,875
26,408,6311.107471655754,7847.230848169533,850.0411236687357,967
27,424,4738.015826296871,5100.089989876,590.3448859725605,685
28,442,7361.630263003496,7200.355265691728,991.5146890654789,1115
29,460,7723.371333992079,6402.259113412764,986.3435655657385,1101
30,478,7668.747736488745,6352.930897426381,973.8036417219205,1085
31,497,7482.636414766619,6101.946589499969,979.6199461131856,1113
32,516,7191.5650858137715,5366.290149607044,909.6627079592558,1048
33,535,7263.105212117792,5646.462178103925,884.138278846376,1004
34,555,6731.0659890355455,5703.391211393637,898.0727374134021,1012
35,576,8791.624642386663,6395.266794507814,1150.567248582692,1288
36,596,8793.192689326279,5335.728085106298,1156.5723518827988,1283
37,618,10061.287902381908,7509.041514119779,1372.9180849625486,1549
38,639,10664.899002943195,7323.65100673418,1380.015934271782,1533
39,661,9999.50337652694,6995.596376280737,1406.1069293427968,1587
40,684,10961.354015231727,6664.382760062184,1444.7305958859213,1615
41,707,10798.778282087109,6561.176157220458,1464.0187974001044,1618
42,730,10579.623977486921,6011.922506176794,1364.096742489808,1533
43,754,10183.439927008585,5618.523923580049,1342.5280997385369,1507
44,778,10255.333501479266,6118.185113001632,1309.520016519298,1493
45,802,10161.087271029537,5377.8672612529,1240.1560134268223,1412
46,827,10635.176623279158,6825.688756374639,1398.8944366427347,1608
47,853,10492.352616525424,7282.369802620377,1428.4365074347995,1643
48,879,9320.584922268461,5616.397420930822,1218.5985105331445,1418
