,pressure,error_sum,speed_sum,denominator,yield
0,828,19819.31502784313,10350.448875866832,2617.708975117195,3006
1,707,17887.911168731684,10937.066546554326,2401.1443012767277,2769
2,597,15474.79107862372,10836.997088112621,2007.3335014117781,2305
3,497,13912.118388605277,12159.78169150808,1902.7719891748354,2165
4,408,11183.65448386245,10368.941560581932,1401.1350287399407,1549
5,329,8197.026171571762,8615.883900754305,1029.4322532114252,1148
6,260,6632.074746360269,8333.571858836947,835.8851693892209,945
7,201,5689.093028777537,7355.745151839759,676.3169994187989,763
8,152,5404.632766029426,8136.0129818457135,723.2285401619026,823
