,pressure,error_sum,speed_sum,denominator,angle_sum,angle_denominator,yield
0,828,90078.28848929619,17928.374722561563,1809.4561511601269,77009.4323287085,1809.4561511601269,2109
1,707,83300.83765584478,17466.85283497197,1688.1151344493098,70659.85618553199,1688.1151344493098,1955
2,597,76564.34091087039,16367.581483117428,1562.2593914971628,63086.334720019244,1562.2593914971628,1797
3,497,72785.08544828616,16480.004422756254,1441.3357048625958,52890.50493377029,1441.3357048625958,1641
4,408,63464.923023791736,15072.422314522968,1299.6437584236983,45432.931053769316,1298.7488240620962,1460
5,329,57767.75716033831,13522.553777794059,1166.6102844279883,41992.16365808767,1166.6102844279883,1298
6,260,43978.483373494906,11170.2027363253,896.8990460099856,28131.54083447518,896.1857955608314,996
7,201,40585.56972103164,10398.211543095289,822.4786464205032,24924.528286537126,822.4786464205032,916
8,152,43320.393679184825,11148.346451336885,882.6553010966295,26872.436821971893,882.6553010966295,1001
